,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
66,0xe1c7d0cb677e452e273f4bc269f03a171ae0ca6e06d4d367214f6a8094771709,13365154,1633520188,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x242d4484633810140a3e22b922a72722c1bec049,100.0,,0x,0
67,0x18e7b7991d50411171c02917c2e2ebf436b2b6fca7c5fa3bd9daeca4872890a3,13401757,1634015689,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0.0896705,,0x,0
68,0x0782b5657a41a1ae8463001efee2937180e4c0a16a4414de80197b98656a06fb,13505507,1635421189,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x242d4484633810140a3e22b922a72722c1bec049,100.0,,0x,0
69,0x690d334923f95537d21370ac49e0b837782b0954ca27fe109e55780c2c684d34,13556005,1636107276,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,3.0,,0x,0
70,0x18ce8da120bd4c6d7b32cec2bc38cdce25e261be79e00e67ddb9c921977d6111,13866657,1640332072,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0xcb309dc64f7dbf384db1dc4e576e4a49cb6e2132,1.3,,0x,0
71,0x092360718ba795ecf1a439f2c7c9fb295769ab57db594c98f8b5d6f3fae541e9,13866698,1640332790,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x242d4484633810140a3e22b922a72722c1bec049,100.0,,0x,0
72,0x3e713e823986c34604d0299f9ed8b49eea213ed44bc37f7cc54ee7f6f471d69c,14250785,1645464997,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,15.0,,0x,0
73,0x3242bfcacbcb84163f00cc1c520e7df2c910ce346226e0416b2ab04801040665,14344574,1646720570,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,15.0,,0x,0
74,0x4635bdfed1d6bc7575f977828a064d19aec83c1cb181df8ba1222f93d351b3b4,14479737,1648538569,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,15.0,,0x,0
85,0x361fdda01d08e76fa371e02c7091f972c6c26f9cc9095a1c42bacd2ae782cf66,16520357,1675090343,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x1e68238ce926dec62b3fbc99ab06eb1d85ce0270,224.0,,0xd0e30db0,0
86,0xe72ba946c9ac95b10a915137e88ad09f3e7392aff43dcfbfc5e12f757a3f7334,16520375,1675090571,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,96.0,,0xa1903eab0000000000000000000000006dc9657c2d90d57cadffb64239242d06e6103e43,0
88,0xa6f5a1461ae5b432f75739ef7c330a43c8c5e0c08c922e0307691e2c0d90e94b,16668537,1676881283,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,30.0,,0x,0
90,0x17e33ee421d1cafc41e716a1edcdd8dadba38c7ec41240aaf07b8a8993e97cee,16768588,1678096907,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0xe5b76391de799cad56b6269f6a84d7c4330380e1,0.1,,0x,0
91,0xa43b5abd14755cdb9745154c77c4ab5c79744f31da230eb937576aaef2b327df,16768592,1678096955,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0xe5b76391de799cad56b6269f6a84d7c4330380e1,10.0,,0x,0
